county_qualified_name	homes_sold	new_listings	inventory	median_dom	months_of_supply	state_code	county_name	months_averaged
Renville County, MN	12.0	14.15	28.23	42.77	2.72	MN	Renville County	12
Renville County, MN	12.0	13.0	26.81	51.62	2.55	MN	Renville County	18
Rice County, MN	41.5	62.5	75.5	21.5	1.85	MN	Rice County	1
Rice County, MN	39.5	47.25	79.0	28.5	2.02	MN	Rice County	3
Rice County, MN	47.43	49.71	99.57	25.43	2.11	MN	Rice County	6
Rice County, MN	60.69	67.23	117.38	22.31	2.0	MN	Rice County	12
Rice County, MN	59.56	65.0	112.62	22.56	1.94	MN	Rice County	18
Rock County, MN	11.0	6.5	18.5	56.5	1.7	MN	Rock County	1
Rock County, MN	7.5	8.0	22.0	71.25	8.88	MN	Rock County	3
Rock County, MN	7.29	7.86	22.57	51.57	6.59	MN	Rock County	6
Rock County, MN	7.69	8.69	21.62	51.62	4.87	MN	Rock County	12
Rock County, MN	7.56	8.31	20.12	54.56	4.38	MN	Rock County	18
Roseau County, MN	6.5	13.5	45.0	23.5	7.3	MN	Roseau County	1
Roseau County, MN	4.5	12.75	40.25	77.25	10.98	MN	Roseau County	3
Roseau County, MN	6.86	10.0	35.14	65.86	7.51	MN	Roseau County	6
Roseau County, MN	10.08	13.62	33.15	41.23	5.41	MN	Roseau County	12
Roseau County, MN	9.69	12.94	29.62	42.31	4.76	MN	Roseau County	18
Scott County, MN	153.5	198.5	309.0	24.5	2.0	MN	Scott County	1
Scott County, MN	121.5	161.75	301.5	36.75	2.68	MN	Scott County	3
Scott County, MN	135.29	143.86	334.43	35.86	2.6	MN	Scott County	6
Scott County, MN	177.92	200.15	350.77	25.92	2.15	MN	Scott County	12
Scott County, MN	169.88	201.94	322.81	24.19	2.04	MN	Scott County	18
Sherburne County, MN	95.5	128.5	173.5	24.0	1.8	MN	Sherburne County	1
Sherburne County, MN	73.0	101.75	169.5	47.5	2.52	MN	Sherburne County	3
Sherburne County, MN	86.29	87.71	188.86	42.29	2.36	MN	Sherburne County	6
Sherburne County, MN	116.92	129.62	219.08	30.85	2.05	MN	Sherburne County	12
Sherburne County, MN	113.81	129.81	205.69	28.88	1.95	MN	Sherburne County	18
Sibley County, MN	7.5	10.5	18.0	64.0	2.5	MN	Sibley County	1
Sibley County, MN	9.75	8.25	22.75	66.5	2.4	MN	Sibley County	3
Sibley County, MN	11.86	10.43	30.29	65.86	2.67	MN	Sibley County	6
Sibley County, MN	14.0	15.38	33.54	48.85	2.58	MN	Sibley County	12
Sibley County, MN	14.19	14.62	31.12	49.69	2.35	MN	Sibley County	18
Stearns County, MN	94.0	138.0	186.0	21.5	2.0	MN	Stearns County	1
Stearns County, MN	80.25	111.25	187.75	34.5	2.42	MN	Stearns County	3
Stearns County, MN	102.57	102.29	210.57	31.14	2.17	MN	Stearns County	6
Stearns County, MN	143.92	155.0	239.85	23.54	1.82	MN	Stearns County	12
Stearns County, MN	136.81	152.0	222.5	24.44	1.75	MN	Stearns County	18
Steele County, MN	27.0	29.0	33.0	36.0	1.25	MN	Steele County	1
Steele County, MN	23.75	24.25	35.75	35.25	1.62	MN	Steele County	3
Steele County, MN	25.86	23.0	40.29	34.14	1.64	MN	Steele County	6
Steele County, MN	36.38	36.77	43.46	23.69	1.34	MN	Steele County	12
Steele County, MN	35.31	35.38	40.69	24.31	1.27	MN	Steele County	18
Stevens County, MN	3.5	7.0	12.0	78.5	4.65	MN	Stevens County	1
Stevens County, MN	3.25	6.0	9.5	92.25	3.65	MN	Stevens County	3
Stevens County, MN	4.71	5.17	9.43	72.71	2.7	MN	Stevens County	6
Stevens County, MN	6.54	7.42	12.38	51.46	2.42	MN	Stevens County	12
Stevens County, MN	5.94	7.13	11.5	44.31	2.41	MN	Stevens County	18
Swift County, MN	6.0	9.5	19.0	100.5	3.25	MN	Swift County	1
Swift County, MN	6.25	7.0	19.25	82.5	3.15	MN	Swift County	3
Swift County, MN	7.86	7.29	25.0	64.43	3.44	MN	Swift County	6
Swift County, MN	9.31	10.77	26.08	56.54	3.22	MN	Swift County	12
Swift County, MN	8.62	10.0	24.44	56.44	3.26	MN	Swift County	18
Todd County, MN	11.0	18.0	36.5	53.5	3.35	MN	Todd County	1
Todd County, MN	11.75	13.25	31.5	47.5	2.82	MN	Todd County	3
Todd County, MN	14.29	13.43	38.0	45.0	2.74	MN	Todd County	6
Todd County, MN	20.38	23.31	46.85	33.15	2.55	MN	Todd County	12
Todd County, MN	18.75	22.38	43.69	38.25	2.55	MN	Todd County	18
Traverse County, MN	2.5	1.0	3.5	22.0	2.4	MN	Traverse County	1
Traverse County, MN	2.5	1.0	3.5	22.0	2.4	MN	Traverse County	3
Traverse County, MN	2.2	1.6	4.0	36.6	2.66	MN	Traverse County	6
Traverse County, MN	2.22	2.14	4.44	31.56	2.6	MN	Traverse County	12
Traverse County, MN	2.1	2.14	4.1	34.2	2.44	MN	Traverse County	18
Wabasha County, MN	10.5	18.5	24.0	41.5	2.35	MN	Wabasha County	1
Wabasha County, MN	8.5	13.75	24.5	46.5	3.22	MN	Wabasha County	3
Wabasha County, MN	12.29	11.86	28.71	43.0	2.67	MN	Wabasha County	6
Wabasha County, MN	17.15	19.77	33.15	31.08	2.24	MN	Wabasha County	12
Wabasha County, MN	17.0	19.25	30.44	30.81	2.04	MN	Wabasha County	18
Wadena County, MN	14.0	13.5	26.5	130.5	2.2	MN	Wadena County	1
Wadena County, MN	9.0	11.0	27.0	105.5	4.68	MN	Wadena County	3
Wadena County, MN	12.29	10.57	33.71	81.43	3.79	MN	Wadena County	6
Wadena County, MN	15.62	17.54	36.85	53.69	3.04	MN	Wadena County	12
Wadena County, MN	14.12	16.19	33.88	54.0	2.99	MN	Wadena County	18
Waseca County, MN	6.5	16.0	23.0	53.0	3.75	MN	Waseca County	1
Waseca County, MN	8.25	12.0	18.5	42.5	2.58	MN	Waseca County	3
Waseca County, MN	11.86	11.57	19.29	32.57	2.01	MN	Waseca County	6
Waseca County, MN	14.0	15.54	20.0	24.85	1.79	MN	Waseca County	12
Waseca County, MN	13.81	14.88	18.19	24.88	1.61	MN	Waseca County	18
Washington County, MN	251.5	366.5	513.5	25.5	2.05	MN	Washington County	1
Washington County, MN	213.25	297.75	485.5	33.25	2.35	MN	Washington County	3
Washington County, MN	251.86	266.57	529.0	31.57	2.16	MN	Washington County	6
Washington County, MN	344.08	374.0	580.77	24.54	1.82	MN	Washington County	12
Washington County, MN	328.69	369.94	543.62	24.25	1.76	MN	Washington County	18
Watonwan County, MN	2.0	1.5	2.5	15.5	1.85	MN	Watonwan County	1
Watonwan County, MN	2.0	2.33	3.0	32.33	1.9	MN	Watonwan County	3
Watonwan County, MN	2.0	2.0	3.25	41.0	1.92	MN	Watonwan County	6
Watonwan County, MN	2.33	2.11	2.89	30.44	1.58	MN	Watonwan County	12
Watonwan County, MN	2.0	1.83	2.83	31.5	1.85	MN	Watonwan County	18
Wilkin County, MN	1.5	1.0	1.0	15.5	1.0	MN	Wilkin County	6
Wilkin County, MN	2.57	1.25	2.8	31.57	1.18	MN	Wilkin County	12
Wilkin County, MN	2.5	1.4	3.0	35.0	1.32	MN	Wilkin County	18
Winona County, MN	28.0	36.5	47.5	15.0	1.7	MN	Winona County	1
Winona County, MN	22.0	27.75	45.0	19.0	2.25	MN	Winona County	3
Winona County, MN	29.43	26.86	49.71	18.71	1.9	MN	Winona County	6
Winona County, MN	41.69	41.77	58.77	17.62	1.62	MN	Winona County	12
Winona County, MN	40.31	41.38	55.88	18.81	1.56	MN	Winona County	18
Wright County, MN	175.0	252.0	444.0	33.0	2.5	MN	Wright County	1
Wright County, MN	146.5	203.0	431.0	47.5	3.02	MN	Wright County	3
Wright County, MN	163.43	179.14	476.0	43.86	2.96	MN	Wright County	6
Wright County, MN	220.23	251.08	506.31	32.46	2.48	MN	Wright County	12
Wright County, MN	212.56	253.5	473.44	32.25	2.37	MN	Wright County	18
Yellow Medicine County, MN	5.5	6.0	15.5	93.5	2.85	MN	Yellow Medicine County	1
Yellow Medicine County, MN	3.75	4.5	17.0	139.75	6.05	MN	Yellow Medicine County	3
Yellow Medicine County, MN	5.14	4.71	19.86	99.57	5.17	MN	Yellow Medicine County	6
Yellow Medicine County, MN	6.31	7.15	19.46	68.38	4.28	MN	Yellow Medicine County	12
Yellow Medicine County, MN	6.62	7.12	18.12	68.88	3.78	MN	Yellow Medicine County	18
Adair County, MO	23.5	31.5	52.0	22.0	2.25	MO	Adair County	1
Adair County, MO	16.0	28.75	49.5	41.5	3.98	MO	Adair County	3
Adair County, MO	16.71	22.86	51.29	39.29	3.81	MO	Adair County	6
Adair County, MO	26.0	28.08	60.31	43.31	3.05	MO	Adair County	12
Adair County, MO	24.75	27.88	66.06	48.5	3.53	MO	Adair County	18
Andrew County, MO	8.0	15.0	19.0	14.0	4.15	MO	Andrew County	1
Andrew County, MO	7.0	11.0	17.0	17.75	3.5	MO	Andrew County	3
Andrew County, MO	8.57	9.57	16.57	22.71	2.71	MO	Andrew County	6
Andrew County, MO	10.46	12.54	19.69	23.15	2.35	MO	Andrew County	12
Andrew County, MO	11.25	12.62	18.75	24.56	2.1	MO	Andrew County	18
Atchison County, MO	2.0	1.0	3.0	292.0	1.5	MO	Atchison County	1
Atchison County, MO	1.5	1.0	4.5	148.0	3.75	MO	Atchison County	3
Atchison County, MO	1.33	1.0	4.33	124.67	3.83	MO	Atchison County	6
Atchison County, MO	1.83	1.0	3.83	92.33	2.8	MO	Atchison County	12
Atchison County, MO	1.56	1.17	4.56	114.44	3.87	MO	Atchison County	18
Audrain County, MO	28.0	22.5	29.5	29.0	1.15	MO	Audrain County	1
Audrain County, MO	20.75	23.0	36.75	28.25	2.4	MO	Audrain County	3
Audrain County, MO	20.14	21.14	42.29	32.57	2.5	MO	Audrain County	6
Audrain County, MO	91.77	23.77	63.62	86.92	9.12	MO	Audrain County	12
Audrain County, MO	75.75	22.12	72.56	77.73	10.72	MO	Audrain County	18
Barry County, MO	31.5	39.0	105.5	77.0	3.4	MO	Barry County	1
Barry County, MO	26.25	32.75	110.75	81.75	4.53	MO	Barry County	3
Barry County, MO	27.29	34.86	119.57	69.43	4.54	MO	Barry County	6
Barry County, MO	30.38	42.38	118.15	54.62	4.06	MO	Barry County	12
Barry County, MO	28.62	40.44	111.81	56.75	4.26	MO	Barry County	18
Barton County, MO	5.0	9.0	12.0	34.5	2.95	MO	Barton County	1
Barton County, MO	7.0	7.0	13.75	35.5	2.5	MO	Barton County	3
Barton County, MO	7.0	7.43	17.86	42.57	2.97	MO	Barton County	6
Barton County, MO	8.54	10.15	20.85	35.92	2.82	MO	Barton County	12
Barton County, MO	8.19	9.94	19.75	41.81	2.71	MO	Barton County	18
Bates County, MO	11.5	14.5		43.5	2.25	MO	Bates County	1
Bates County, MO	11.5	14.0		53.0	2.5	MO	Bates County	3
Bates County, MO	11.14	12.0		61.14	3.2	MO	Bates County	6
Bates County, MO	12.46	14.85		44.38	3.1	MO	Bates County	12
Bates County, MO	12.38	15.06		41.94	2.97	MO	Bates County	18
Benton County, MO	23.5	39.0	84.0	15.0	3.6	MO	Benton County	1
Benton County, MO	19.25	33.5	76.0	32.5	4.45	MO	Benton County	3
Benton County, MO	22.29	28.57	78.29	30.43	3.89	MO	Benton County	6
Benton County, MO	28.92	38.15	83.46	32.15	3.24	MO	Benton County	12
Benton County, MO	29.12	36.19	83.38	42.44	3.15	MO	Benton County	18
Bollinger County, MO	7.0	7.5	21.0	113.0	3.0	MO	Bollinger County	1
Bollinger County, MO	7.0	6.25	23.0	85.5	3.3	MO	Bollinger County	3
Bollinger County, MO	5.29	6.57	24.29	84.71	6.51	MO	Bollinger County	6
Bollinger County, MO	6.62	6.92	21.08	82.23	4.6	MO	Bollinger County	12
Bollinger County, MO	6.06	6.69	19.69	69.81	4.47	MO	Bollinger County	18
Boone County, MO	170.5	301.0	268.0	4.0	1.6	MO	Boone County	1
Boone County, MO	147.0	243.25	226.5	3.25	1.55	MO	Boone County	3
Boone County, MO	150.14	204.29	210.86	3.86	1.4	MO	Boone County	6
Boone County, MO	231.62	243.62	214.38	13.92	1.11	MO	Boone County	12
Boone County, MO	220.38	237.94	229.5	18.38	1.23	MO	Boone County	18
Buchanan County, MO	79.5	94.5	110.5	33.0	1.4	MO	Buchanan County	1
Buchanan County, MO	74.0	81.75	119.75	29.25	1.65	MO	Buchanan County	3
Buchanan County, MO	77.29	82.14	142.14	29.14	1.86	MO	Buchanan County	6
Buchanan County, MO	94.08	102.62	149.08	22.62	1.65	MO	Buchanan County	12
Buchanan County, MO	91.81	101.44	147.0	23.88	1.67	MO	Buchanan County	18
Butler County, MO	29.5	36.5	91.5	41.0	3.15	MO	Butler County	1
Butler County, MO	26.0	33.25	93.0	57.0	3.7	MO	Butler County	3
Butler County, MO	30.14	32.29	101.29	49.43	3.47	MO	Butler County	6
Butler County, MO	39.08	40.77	104.08	46.08	2.89	MO	Butler County	12
Butler County, MO	39.12	39.88	103.0	46.94	2.84	MO	Butler County	18
Caldwell County, MO	4.5	6.5		25.0	3.6	MO	Caldwell County	1
Caldwell County, MO	4.0	6.25		45.25	4.3	MO	Caldwell County	3
Caldwell County, MO	4.57	5.29		49.29	3.83	MO	Caldwell County	6
Caldwell County, MO	5.23	6.92		38.08	3.29	MO	Caldwell County	12
Caldwell County, MO	5.38	6.31		40.31	3.05	MO	Caldwell County	18
Callaway County, MO	52.5	41.0	42.5	66.0	1.0	MO	Callaway County	1
Callaway County, MO	37.75	35.25	40.5	43.25	1.32	MO	Callaway County	3
Callaway County, MO	56.0	30.71	46.0	286.71	1.36	MO	Callaway County	6
Callaway County, MO	102.23	37.92	59.0	289.31	1.67	MO	Callaway County	12
Callaway County, MO	87.06	35.88	60.94	240.69	2.02	MO	Callaway County	18
Camden County, MO	126.5	137.0	388.5	69.0	3.1	MO	Camden County	1
Camden County, MO	94.0	123.25	387.75	70.0	4.92	MO	Camden County	3
Camden County, MO	100.86	115.14	396.71	68.86	4.4	MO	Camden County	6
Camden County, MO	129.0	155.77	430.38	58.92	3.74	MO	Camden County	12
Camden County, MO	126.69	153.25	407.88	59.38	3.54	MO	Camden County	18
Cape Girardeau County, MO	79.0	92.0	173.0	38.5	2.2	MO	Cape Girardeau County	1
Cape Girardeau County, MO	64.25	76.0	165.25	44.25	2.68	MO	Cape Girardeau County	3
Cape Girardeau County, MO	66.14	73.29	176.29	40.43	2.76	MO	Cape Girardeau County	6
Cape Girardeau County, MO	84.62	84.77	172.92	33.77	2.22	MO	Cape Girardeau County	12
Cape Girardeau County, MO	84.06	83.75	164.25	33.0	2.09	MO	Cape Girardeau County	18
Carroll County, MO	5.0	7.5	14.5	32.5	3.05	MO	Carroll County	1
Carroll County, MO	3.75	7.0	16.75	71.25	5.48	MO	Carroll County	3
Carroll County, MO	4.43	5.86	17.71	82.71	4.93	MO	Carroll County	6
Carroll County, MO	4.23	6.15	17.15	80.31	4.71	MO	Carroll County	12
Carroll County, MO	4.62	5.75	16.0	82.44	4.17	MO	Carroll County	18
Carter County, MO	2.0	6.0	13.5	39.0	6.75	MO	Carter County	1
Carter County, MO	2.5	4.25	12.25	64.0	5.38	MO	Carter County	3
Carter County, MO	3.14	3.71	13.71	78.57	4.83	MO	Carter County	6
Carter County, MO	3.46	4.77	14.31	60.31	4.77	MO	Carter County	12
Carter County, MO	3.8	4.67	13.93	65.33	4.39	MO	Carter County	18
Cass County, MO	107.5	139.5		31.0	2.1	MO	Cass County	1
Cass County, MO	93.25	119.25		43.0	2.6	MO	Cass County	3
Cass County, MO	110.71	112.57		38.0	2.44	MO	Cass County	6
Cass County, MO	139.15	157.0		28.31	2.08	MO	Cass County	12
Cass County, MO	136.44	151.88		28.12	1.96	MO	Cass County	18
Cedar County, MO	12.0	17.5	52.0	58.0	5.45	MO	Cedar County	1
Cedar County, MO	13.0	17.75	56.25	54.5	4.9	MO	Cedar County	3
Cedar County, MO	13.71	16.43	58.57	54.71	4.69	MO	Cedar County	6
Cedar County, MO	15.85	21.69	59.92	47.77	4.11	MO	Cedar County	12
Cedar County, MO	14.81	20.62	56.69	49.81	4.12	MO	Cedar County	18
Chariton County, MO	1.5	1.0	3.0	36.5	2.25	MO	Chariton County	1
Chariton County, MO	1.33	1.0	3.33	57.33	2.83	MO	Chariton County	3
Chariton County, MO	1.25	1.0	3.25	50.25	2.88	MO	Chariton County	6
Chariton County, MO	1.25	1.0	3.25	50.25	2.88	MO	Chariton County	12
Chariton County, MO	1.25	1.0	3.25	50.25	2.88	MO	Chariton County	18
Christian County, MO	110.5	140.5	173.0	19.5	1.6	MO	Christian County	1
Christian County, MO	99.25	120.25	181.5	26.75	1.9	MO	Christian County	3
Christian County, MO	106.29	117.29	217.0	22.57	2.1	MO	Christian County	6
Christian County, MO	124.08	147.92	224.15	23.15	1.95	MO	Christian County	12
Christian County, MO	110.81	136.5	214.81	28.69	2.22	MO	Christian County	18
Clark County, MO	1.0			34.0		MO	Clark County	1
Clark County, MO	1.33	1.0	1.5	147.67	1.0	MO	Clark County	3
Clark County, MO	1.4	1.0	2.75	119.0	2.12	MO	Clark County	6
Clark County, MO	1.4	1.0	2.75	119.0	2.12	MO	Clark County	12
Clark County, MO	1.33	1.0	2.75	119.0	2.12	MO	Clark County	18
Clay County, MO	298.5	367.0		18.5	1.45	MO	Clay County	1
Clay County, MO	250.5	312.75		26.0	1.95	MO	Clay County	3
Clay County, MO	264.0	277.71		25.71	1.94	MO	Clay County	6
Clay County, MO	350.69	370.31		19.46	1.58	MO	Clay County	12
Clay County, MO	340.12	374.0		18.5	1.52	MO	Clay County	18
Clinton County, MO	15.0	19.0		27.0	2.15	MO	Clinton County	1
Clinton County, MO	13.5	14.75		37.25	2.48	MO	Clinton County	3
Clinton County, MO	16.14	15.29		36.0	2.56	MO	Clinton County	6
Clinton County, MO	18.54	22.31		28.92	2.31	MO	Clinton County	12
Clinton County, MO	18.38	21.19		29.0	2.09	MO	Clinton County	18
Cole County, MO	70.5	78.5	77.5	13.0	1.1	MO	Cole County	1
Cole County, MO	61.25	69.75	71.75	11.75	1.2	MO	Cole County	3
Cole County, MO	65.71	68.0	78.86	12.43	1.23	MO	Cole County	6
Cole County, MO	83.31	84.85	84.31	12.46	1.1	MO	Cole County	12
Cole County, MO	80.19	83.94	83.62	14.19	1.14	MO	Cole County	18
Cooper County, MO	11.0	20.5	15.0	13.5	1.4	MO	Cooper County	1
Cooper County, MO	9.5	13.75	12.75	9.0	1.38	MO	Cooper County	3
Cooper County, MO	11.43	13.43	13.29	17.14	1.29	MO	Cooper County	6
Cooper County, MO	14.0	15.0	17.54	24.69	1.32	MO	Cooper County	12
Cooper County, MO	13.81	15.25	20.25	28.81	1.56	MO	Cooper County	18
Crawford County, MO	14.0	23.5	48.0	64.5	3.6	MO	Crawford County	1
Crawford County, MO	11.25	18.25	43.0	97.5	4.12	MO	Crawford County	3
Crawford County, MO	14.71	16.0	48.71	78.86	3.66	MO	Crawford County	6
Crawford County, MO	17.69	21.54	56.62	65.46	3.47	MO	Crawford County	12
Crawford County, MO	16.94	19.88	53.56	62.94	3.37	MO	Crawford County	18
Dade County, MO	7.5	5.0	11.5	130.5	1.75	MO	Dade County	1
Dade County, MO	4.75	5.25	12.75	74.5	5.7	MO	Dade County	3
Dade County, MO	4.43	4.57	13.0	58.14	4.79	MO	Dade County	6
Dade County, MO	5.31	6.46	15.15	45.92	5.48	MO	Dade County	12
Dade County, MO	5.0	6.13	14.6	49.73	5.27	MO	Dade County	18
Dallas County, MO	13.0	18.0	37.0	65.5	2.95	MO	Dallas County	1
Dallas County, MO	11.75	12.25	38.25	87.75	3.55	MO	Dallas County	3
Dallas County, MO	13.29	15.57	44.86	63.14	3.57	MO	Dallas County	6
Dallas County, MO	13.62	18.77	42.15	47.08	3.37	MO	Dallas County	12
Dallas County, MO	12.75	16.81	38.25	53.69	3.23	MO	Dallas County	18
Daviess County, MO	11.0	7.0	15.5	67.5	1.4	MO	Daviess County	1
Daviess County, MO	6.5	7.75	18.75	52.0	8.02	MO	Daviess County	3
Daviess County, MO	5.43	6.86	21.29	44.86	7.6	MO	Daviess County	6
Daviess County, MO	6.15	8.31	19.31	33.08	5.3	MO	Daviess County	12
Daviess County, MO	5.94	7.81	17.81	32.0	4.94	MO	Daviess County	18
DeKalb County, MO	7.5	8.0	9.0	62.0	1.2	MO	DeKalb County	1
DeKalb County, MO	5.0	7.0	9.0	40.75	2.52	MO	DeKalb County	3
DeKalb County, MO	4.86	5.71	9.86	46.0	2.54	MO	DeKalb County	6
DeKalb County, MO	5.54	6.31	10.08	38.77	2.88	MO	DeKalb County	12
DeKalb County, MO	5.19	5.81	9.69	38.69	2.76	MO	DeKalb County	18
Dent County, MO	13.0	12.5	51.5	75.0	4.0	MO	Dent County	1
Dent County, MO	11.0	15.5	52.75	66.25	5.0	MO	Dent County	3
Dent County, MO	11.43	14.57	52.86	67.71	4.86	MO	Dent County	6
Dent County, MO	14.46	15.92	51.69	55.38	4.01	MO	Dent County	12
Dent County, MO	14.69	16.75	51.31	55.19	3.89	MO	Dent County	18
Douglas County, MO	15.5	17.0	39.0	41.5	2.5	MO	Douglas County	1
Douglas County, MO	12.0	15.5	39.25	45.25	3.82	MO	Douglas County	3
Douglas County, MO	11.86	13.71	43.71	48.57	4.03	MO	Douglas County	6
Douglas County, MO	11.85	17.0	42.31	41.15	4.0	MO	Douglas County	12
Douglas County, MO	11.19	15.94	39.56	51.31	3.94	MO	Douglas County	18
Dunklin County, MO	13.5	21.0	55.5	70.0	4.2	MO	Dunklin County	1
Dunklin County, MO	13.0	18.75	55.0	61.5	4.65	MO	Dunklin County	3
Dunklin County, MO	11.57	20.14	53.86	50.0	5.17	MO	Dunklin County	6
Dunklin County, MO	14.0	15.09	32.85	71.8	3.05	MO	Dunklin County	12
Dunklin County, MO	13.19	15.09	27.25	71.8	2.54	MO	Dunklin County	18
Franklin County, MO	79.0	99.5	224.0	50.0	2.9	MO	Franklin County	1
Franklin County, MO	81.25	87.25	230.25	55.75	2.85	MO	Franklin County	3
Franklin County, MO	83.14	89.29	247.71	49.71	2.97	MO	Franklin County	6
Franklin County, MO	97.92	107.54	254.46	43.92	2.67	MO	Franklin County	12
Franklin County, MO	96.19	102.94	243.0	44.5	2.58	MO	Franklin County	18
Gasconade County, MO	11.0	13.0	25.5	90.5	2.35	MO	Gasconade County	1
Gasconade County, MO	9.25	8.25	24.0	88.5	2.68	MO	Gasconade County	3
Gasconade County, MO	9.71	8.57	29.0	73.86	3.06	MO	Gasconade County	6
Gasconade County, MO	13.54	13.23	34.38	66.08	2.73	MO	Gasconade County	12
Gasconade County, MO	13.56	13.5	33.94	68.69	2.76	MO	Gasconade County	18
Gentry County, MO	3.5	3.5	4.0	108.0	1.25	MO	Gentry County	1
Gentry County, MO	3.0	3.0	5.67	121.0	2.33	MO	Gentry County	3
Gentry County, MO	2.5	2.83	7.17	68.0	4.38	MO	Gentry County	6
Gentry County, MO	3.0	3.33	7.42	58.0	3.97	MO	Gentry County	12
Gentry County, MO	2.67	3.2	7.27	64.47	4.34	MO	Gentry County	18
Greene County, MO	339.5	432.5	417.5	14.0	1.25	MO	Greene County	1
Greene County, MO	294.0	364.0	436.25	20.5	1.55	MO	Greene County	3
Greene County, MO	311.71	349.14	501.29	17.0	1.64	MO	Greene County	6
Greene County, MO	355.23	420.08	522.08	18.85	1.56	MO	Greene County	12
Greene County, MO	325.19	388.12	511.94	23.62	1.72	MO	Greene County	18
Grundy County, MO	6.0	5.5	9.0	61.5	1.55	MO	Grundy County	1
Grundy County, MO	4.75	4.5	10.5	39.0	2.55	MO	Grundy County	3
Grundy County, MO	6.43	6.0	14.43	34.14	2.54	MO	Grundy County	6
Grundy County, MO	6.85	7.77	14.0	32.38	2.42	MO	Grundy County	12
Grundy County, MO	6.94	7.81	14.31	35.31	2.4	MO	Grundy County	18
Harrison County, MO	1.0		4.0	16.0	4.0	MO	Harrison County	1
Harrison County, MO	1.67	2.5	3.67	70.33	3.23	MO	Harrison County	3
Harrison County, MO	1.5	2.0	4.0	53.75	3.68	MO	Harrison County	6
Harrison County, MO	1.86	1.8	3.14	83.0	2.49	MO	Harrison County	12
Harrison County, MO	1.89	1.67	3.0	91.0	2.41	MO	Harrison County	18
Henry County, MO	30.5	36.0	64.5	39.5	2.15	MO	Henry County	1
Henry County, MO	26.75	33.75	65.75	40.25	2.52	MO	Henry County	3
Henry County, MO	30.71	32.29	70.43	37.14	2.36	MO	Henry County	6
Henry County, MO	33.69	40.08	75.85	33.08	2.34	MO	Henry County	12
Henry County, MO	33.0	38.25	73.44	39.81	2.3	MO	Henry County	18
Hickory County, MO	9.0	17.5	43.5	72.5	4.95	MO	Hickory County	1
Hickory County, MO	8.25	12.25	42.0	95.25	5.3	MO	Hickory County	3
Hickory County, MO	7.86	11.71	44.57	83.14	6.36	MO	Hickory County	6
Hickory County, MO	9.69	14.31	43.08	62.54	5.37	MO	Hickory County	12
Hickory County, MO	8.94	13.5	40.81	66.0	5.67	MO	Hickory County	18
Holt County, MO	6.0	4.0	7.0	24.0	1.2	MO	Holt County	1
Holt County, MO	4.5	3.0	8.5	23.0	2.25	MO	Holt County	3
Holt County, MO	4.5	4.0	8.75	16.5	2.48	MO	Holt County	6
Holt County, MO	4.3	4.5	7.1	26.4	2.03	MO	Holt County	12
Holt County, MO	4.0	4.42	7.15	32.69	2.39	MO	Holt County	18
Howard County, MO	5.5	6.0	4.0	52.5	0.8	MO	Howard County	1
Howard County, MO	4.0	5.33	4.67	52.5	2.53	MO	Howard County	3
Howard County, MO	3.0	4.2	5.17	61.8	2.93	MO	Howard County	6
Howard County, MO	2.7	3.38	4.8	59.22	2.81	MO	Howard County	12
Howard County, MO	2.42	3.22	4.64	59.36	2.83	MO	Howard County	18
Howell County, MO	35.5	40.5	113.0	84.5	3.2	MO	Howell County	1
Howell County, MO	31.25	36.25	118.25	70.0	3.98	MO	Howell County	3
Howell County, MO	31.71	34.71	134.0	58.29	4.33	MO	Howell County	6
Howell County, MO	34.38	44.54	131.15	52.46	4.04	MO	Howell County	12
Howell County, MO	31.56	41.5	125.06	59.88	4.26	MO	Howell County	18
Iron County, MO	8.0	5.5	29.5	186.0	6.4	MO	Iron County	1
Iron County, MO	7.75	4.75	34.0	147.25	6.18	MO	Iron County	3
Iron County, MO	7.71	6.29	41.57	107.43	6.51	MO	Iron County	6
Iron County, MO	8.31	10.31	37.92	81.08	5.52	MO	Iron County	12
Iron County, MO	7.69	10.0	34.5	84.62	5.36	MO	Iron County	18
Jackson County, MO	862.0	998.5		24.5	1.55	MO	Jackson County	1
Jackson County, MO	746.75	880.75		31.5	2.0	MO	Jackson County	3
Jackson County, MO	769.86	835.71		30.0	2.14	MO	Jackson County	6
Jackson County, MO	932.85	1066.77		22.85	1.88	MO	Jackson County	12
Jackson County, MO	919.12	1058.0		22.56	1.78	MO	Jackson County	18
Jasper County, MO	152.5	191.5	254.0	22.0	1.7	MO	Jasper County	1
Jasper County, MO	130.25	154.5	254.0	27.5	2.02	MO	Jasper County	3
Jasper County, MO	132.71	150.57	284.43	26.0	2.2	MO	Jasper County	6
Jasper County, MO	162.69	188.0	309.92	23.38	1.99	MO	Jasper County	12
Jasper County, MO	162.19	185.44	308.69	27.5	1.98	MO	Jasper County	18
Jefferson County, MO	196.5	226.5	288.0	19.0	1.45	MO	Jefferson County	1
Jefferson County, MO	186.0	196.25	297.0	27.5	1.6	MO	Jefferson County	3
Jefferson County, MO	204.29	192.57	341.0	26.29	1.66	MO	Jefferson County	6
Jefferson County, MO	254.85	249.08	368.46	20.23	1.48	MO	Jefferson County	12
Jefferson County, MO	248.75	243.12	350.75	20.19	1.44	MO	Jefferson County	18
