County	State	Total Comps	For Sale Comps (All)	Sold Comps (All)	Sold Comps (6m)	Sold Comps (3m)	Listed Comps (12m)	Listed Comps (6m)	Listed Comps (3m)	Sold-For Sale Ratio	Sold-Listed Ratio (12m)	Sold-Listed Ratio (6m)	Sold-Listed Ratio (3m)	Parcels on Market Ratio	Total DataTree Parcels	Total Out of State Owner Parcels	Total Out of County Owner Parcels	Out of State to Total Ratio	Out of County to Total Ratio	Coefficient of Variation	Coefficient of Variation (6m)	Coefficient of Variation (3m)	Days on Market	MoM Price Change %	Economic Rank	Economic Score	Population	Population Change (2010-2019)	Population Change %	Population-Sq Mile
Liberty County	Montana	27	25	2	0	0	7	6	4	0.08	0.29	0	0	0.007	3705	229	1389	0.062	0.375	0.07	0.07	0.07	117.6		769	0.65	2337	-12	-0.5	1.6
Lincoln County	Montana	1680	1677	3	0	0	448	360	203	0	0.01	0	0	0.139	12062	3121	4394	0.259	0.364	0.67	0.67	0.67	175.8	2.83	324	1.74	19980	286	1.4	5.4
Madison County	Montana	1172	1118	54	0	0	146	103	57	0.05	0.37	0	0	0.095	11753	3201	8304	0.272	0.707	0.79	0.78	0.78	168.2	5.77	298	1.85	8600	904	10.5	2.4
McCone County	Montana	31	26	5	0	0	8	6	3	0.19	0.62	0	0	0.005	5605	567	3713	0.101	0.662	0.13	0.11	0.11	109.5	-4.4	959	0.43	1664	-81	-4.9	0.6
Meagher County	Montana	225	221	4	0	0	40	30	11	0.02	0.1	0	0	0.049	4535	644	2746	0.142	0.606	0.22	0.22	0.22	149.4	-3.62	269	1.99	1862	-16	-0.9	0.8
Mineral County	Montana	482	471	11	0	0	143	71	31	0.02	0.08	0	0	0.143	3287	670	1322	0.204	0.402	0.45	0.45	0.45	162.2	4.82	539	1.05	4397	168	3.8	3.6
Missoula County	Montana	1853	1832	21	0	0	382	274	138	0.01	0.05	0	0	0.158	11629	1976	3497	0.17	0.301	0.81	0.81	0.81	186.5	1.96	476	1.21	119600	10133	8.5	45.7
Musselshell County	Montana	400	383	17	0	0	52	27	8	0.04	0.33	0	0	0.074	5173	1083	2602	0.209	0.503	0.33	0.32	0.32	178.4	2.39	707	0.73	4633	78	1.7	2.5
Park County	Montana	743	731	12	0	0	75	60	32	0.02	0.16	0	0	0.11	6621	1841	4334	0.278	0.655	0.65	0.65	0.65	122.2	0.48	221	2.23	16606	1010	6.1	5.9
Petroleum County	Montana	82	76	6	0	0	7	4	3	0.08	0.86	0	0	0.018	4133	394	2782	0.095	0.673	0.18	0.18	0.18	159	9.35	451	1.25	487	-2	-0.4	0.3
Phillips County	Montana	91	80	11	0	0	27	24	20	0.14	0.41	0	0	0.007	12004	820	7209	0.068	0.601	0.19	0.2	0.2	57.5	20.57	858	0.54	3954	-298	-7.5	0.8
Pondera County	Montana	42	41	1	0	0	16	14	3	0.02	0.06	0	0	0.007	5582	465	2190	0.083	0.392	0.05	0.05	0.05	145.3	-10.28	256	2.04	5911	-249	-4.2	3.6
Powder River County	Montana	20	15	5	0	0	1	1	1	0.33	5	0	0	0.002	6230	640	3305	0.103	0.53	0.11	0.1	0.1	54		2039	-0.53	1682	-57	-3.4	0.5
Powell County	Montana	391	376	15	0	0	63	51	28	0.04	0.24	0	0	0.075	4987	791	3257	0.159	0.653	0.47	0.44	0.44	123	1.83	461	1.23	6890	-129	-1.9	3
Prairie County	Montana	23	21	2	0	0	2	1	0	0.1	1	0	0	0.007	2849	149	1725	0.052	0.605	0.05	0.05	0.05	260	9.46	1118	0.26	1077	-106	-9.8	0.6
Ravalli County	Montana	2050	2027	23	0	0	369	306	193	0.01	0.06	0	0	0.183	11051	2043	2931	0.185	0.265	0.57	0.58	0.58	114.5	2.12	676	0.78	43806	3482	7.9	18.3
Richland County	Montana	92	79	13	0	0	42	37	36	0.16	0.31	0	0	0.013	5921	666	1908	0.112	0.322	0.28	0.18	0.18	66.7	-2.23	1653	-0.19	10803	1044	9.7	5.1
Roosevelt County	Montana	86	84	2	0	0	61	14	9	0.02	0.03	0	0	0.009	9692	1420	2757	0.147	0.284	0.11	0.1	0.1	296	6.98	2894	-1.64	11004	561	5.1	4.6
Rosebud County	Montana	92	85	7	0	0	10	8	4	0.08	0.7	0	0	0.01	8107	1083	4648	0.134	0.573	0.33	0.31	0.31	303.1	-0.61	1129	0.26	8937	-305	-3.4	1.8
Sanders County	Montana	1261	1238	23	0	0	210	160	63	0.02	0.11	0	0	0.152	8123	1809	5449	0.223	0.671	0.55	0.54	0.54	142.2	1.5	391	1.44	12113	718	5.9	4.3
Sheridan County	Montana	2	2	0	0	0	0	0	0	0	0	0	0	0	5805	833	2123	0.143	0.366	0	0	0			2406	-0.93	3309	-59	-1.8	1.9
Silver Bow County	Montana	399	398	1	0	0	106	32	29	0	0.01	0	0	0.085	4676	971	1546	0.208	0.331	0.39	0.39	0.39	187	2.22	416	1.36	34915	685	2	48.6
Stillwater County	Montana	707	679	28	0	0	121	92	58	0.04	0.23	0	0	0.122	5560	1068	3012	0.192	0.542	0.47	0.44	0.44	113.4	5.79	331	1.69	9642	528	5.5	5.3
Sweet Grass County	Montana	385	329	56	0	0	29	21	7	0.17	1.93	0	0	0.097	3384	618	1548	0.183	0.457	0.58	0.58	0.58	172	0.01	244	2.1	3737	118	3.2	2
Teton County	Montana	78	76	2	0	0	15	13	2	0.03	0.13	0	0	0.011	7186	589	3359	0.082	0.467	0.17	0.16	0.16	151.3	1.25	183	2.5	6147	73	1.2	2.7
Toole County	Montana	49	48	1	0	0	24	17	3	0.02	0.04	0	0	0.007	6468	559	2575	0.086	0.398	0.08	0.08	0.08	167	0.42	613	0.89	4736	-607	-12.8	2.4
Treasure County	Montana	38	31	7	0	0	3	3	0	0.23	2.33	0	0	0.019	1673	186	936	0.111	0.559	0.12	0.11	0.11	105.3		1591	-0.15	696	-22	-3.2	0.7
Valley County	Montana	80	76	4	0	0	21	15	10	0.05	0.19	0	0	0.006	13465	1125	7494	0.084	0.557	0.06	0.06	0.06	156.4	1.07	1049	0.32	7396	18	0.2	1.5
Wheatland County	Montana	74	70	4	0	0	10	9	3	0.06	0.4	0	0	0.026	2703	499	1410	0.185	0.522	0.17	0.17	0.17	155.5	6.61	258	2.03	2126	-30	-1.4	1.5
Wibaux County	Montana	30	26	4	0	0	9	5	4	0.15	0.44	0	0	0.016	1642	432	825	0.263	0.502	0.05	0.04	0.04	155.9	-0.79	1728	-0.25	969	-39	-4	1.1
Yellowstone County	Montana	2355	2297	58	0	0	732	561	191	0.03	0.08	0	0	0.086	26591	2648	5407	0.1	0.203	0.97	0.92	0.92	184.1	1.8	632	0.86	161300	12906	8	60.9
Yellowstone Nat Park County	Montana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0
Adams County	Nebraska	81	61	20	8	7	15	13	13	0.33	1.33	0.62	0.54	0.015	3944	311	991	0.079	0.251	0.16	0.14	0.14	107.6	13.74	2803	-1.48	31363	35	0.1	55.6
Antelope County	Nebraska	48	41	7	3	2	4	4	4	0.17	1.75	0.75	0.5	0.011	3632	220	1304	0.061	0.359	0.17	0.17	0.17	77	3.76	2569	-1.13	6298	-381	-6	7.3
Arthur County	Nebraska	5	5	0	0	0	0	0	0	0	0	0	0	0.006	870	100	538	0.115	0.618	0	0	0			1656	-0.19	463	-2	-0.4	0.6
Banner County	Nebraska	23	20	3	0	0	0	0	0	0.15	3	0	0	0.014	1402	317	756	0.226	0.539	0.01	0.01	0.01			1579	-0.14	745	54	7.2	1
Blaine County	Nebraska	30	30	0	0	0	21	0	0	0	0	0	0	0.023	1292	97	666	0.075	0.515	0	0	0	235.2		1638	-0.18	465	-13	-2.8	0.7
Boone County	Nebraska	25	25	0	0	0	2	2	1	0	0	0	0	0.008	2989	135	1110	0.045	0.371	0.06	0.06	0.06	496.1	3.36	2005	-0.5	5192	-319	-6.1	7.6
Box Butte County	Nebraska	74	68	6	0	0	4	4	0	0.09	1.5	0	0	0.023	3021	453	974	0.15	0.322	0.17	0.18	0.18	99.5	-4.76	1275	0.11	10783	-492	-4.6	10
Boyd County	Nebraska	38	35	3	0	0	2	1	0	0.09	1.5	0	0	0.016	2253	233	810	0.103	0.36	0.08	0.08	0.08	218	1.68	2688	-1.31	1919	-186	-9.7	3.5
Brown County	Nebraska	94	89	5	0	0	2	1	0	0.06	2.5	0	0	0.035	2515	200	1272	0.08	0.506	0.18	0.18	0.18	372.3	38.42	1891	-0.4	2955	-200	-6.8	2.4
Buffalo County	Nebraska	542	420	122	48	15	188	158	116	0.29	0.65	0.3	0.13	0.076	5523	308	1125	0.056	0.204	0.42	0.42	0.43	310.9	1.47	961	0.42	49659	3484	7	50.9
Burt County	Nebraska	118	95	23	2	1	60	52	26	0.24	0.38	0.04	0.04	0.029	3232	328	1372	0.101	0.425	0.3	0.28	0.28	100.4	22.1	2081	-0.57	6459	-383	-5.9	13
Butler County	Nebraska	194	184	10	5	3	137	137	2	0.05	0.07	0.04	1.5	0.048	3851	239	1476	0.062	0.383	0.13	0.11	0.1	156.2	3.3	2952	-1.74	8016	-358	-4.5	13.7
Cass County	Nebraska	455	358	97	23	12	118	72	39	0.27	0.82	0.32	0.31	0.053	6791	474	2381	0.07	0.351	0.3	0.29	0.29	460.7	4.68	2356	-0.88	26248	1009	3.8	46.4
Cedar County	Nebraska	68	60	8	4	2	5	3	3	0.13	1.6	1.33	0.67	0.014	4192	510	1120	0.122	0.267	0.17	0.17	0.15	852.7	16.11	2369	-0.89	8402	-417	-5	11.3
Chase County	Nebraska	56	55	1	0	0	20	20	20	0.02	0.05	0	0	0.021	2561	364	747	0.142	0.292	0.08	0.08	0.08	27	3.46	1919	-0.42	3924	-42	-1.1	4.4
Cherry County	Nebraska	87	80	7	0	0	34	25	4	0.09	0.21	0	0	0.007	11681	1036	5425	0.089	0.464	0.16	0.15	0.15	145.1	3.56	1632	-0.17	5689	-5	-0.1	0.9
Cheyenne County	Nebraska	144	133	11	0	0	26	23	22	0.08	0.42	0	0	0.034	3879	905	1417	0.233	0.365	0.12	0.11	0.11	35.3	-3.12	2331	-0.84	8910	-1058	-11.9	7.4
Clay County	Nebraska	44	38	6	1	1	18	18	18	0.16	0.33	0.06	0.06	0.01	3642	391	1509	0.107	0.414	0.13	0.14	0.14	12		2954	-1.76	6203	-333	-5.4	10.8
Colfax County	Nebraska	17	12	5	1	0	1	1	0	0.42	5	1	0	0.003	3686	239	1464	0.065	0.397	0.06	0.04	0.05	56	58.85	1658	-0.2	10709	169	1.6	25.6
Cuming County	Nebraska	50	45	5	3	1	29	6	6	0.11	0.17	0.5	0.17	0.011	4173	327	1327	0.078	0.318	0.13	0.13	0.13	279.3	10.33	1856	-0.37	8846	-314	-3.5	15.4
Custer County	Nebraska	133	122	11	0	0	7	7	4	0.09	1.57	0	0	0.014	8708	683	3103	0.078	0.356	0.35	0.33	0.33	90.8	2.28	2212	-0.7	10777	-128	-1.2	4.2
Dakota County	Nebraska	218	212	6	2	0	8	7	6	0.03	0.75	0.29	0	0.073	2894	463	719	0.16	0.248	0.13	0.13	0.13	1162.3	0.12	2505	-1.05	20026	-1008	-5	74.9
Dawes County	Nebraska	114	97	17	1	0	28	28	1	0.18	0.61	0.04	0	0.03	3251	416	1146	0.128	0.353	0.27	0.24	0.24	110.5	16.69	1215	0.15	8589	-579	-6.7	6.1
Dawson County	Nebraska	221	183	38	13	10	100	56	53	0.21	0.38	0.23	0.19	0.037	4900	483	1721	0.099	0.351	0.22	0.19	0.19	165.3	-22.16	837	0.56	23595	-717	-3	23.1
Deuel County	Nebraska	100	91	9	0	0	23	22	22	0.1	0.39	0	0	0.078	1161	426	764	0.367	0.658	0.2	0.18	0.18	45.7	8.43	1533	-0.11	1794	-131	-7.3	4.1
Dixon County	Nebraska	21	18	3	0	0	0	0	0	0.17	3	0	0	0.006	2989	484	1563	0.162	0.523	0.05	0.05	0.05		0	2069	-0.55	5636	-352	-6.2	11.7
Dodge County	Nebraska	253	193	60	18	7	38	13	11	0.31	1.58	1.38	0.64	0.037	5214	457	1825	0.088	0.35	0.16	0.14	0.15	529.5	-14.08	1285	0.1	36565	-108	-0.3	67.2
Douglas County	Nebraska	1082	880	202	70	27	597	510	315	0.23	0.34	0.14	0.09	0.488	1803	160	367	0.089	0.204	0.28	0.26	0.26	190.3	-2.41	2385	-0.91	571327	52753	9.2	1682.4
Dundy County	Nebraska	33	31	2	1	1	3	2	0	0.06	0.67	0.5	1	0.013	2380	529	1135	0.222	0.477	0.05	0.05	0.05	146.3	-2.85	2286	-0.79	1693	-315	-18.6	1.8
Fillmore County	Nebraska	16	9	7	3	2	3	3	3	0.78	2.33	1	0.67	0.003	3454	326	1226	0.094	0.355	0.04	0.02	0.02	283.5	0	3040	-2.1	5462	-409	-7.5	9.5
Franklin County	Nebraska	37	23	14	1	1	2	2	2	0.61	7	0.5	0.5	0.008	2911	180	1006	0.062	0.346	0.11	0.07	0.07	44.5		2296	-0.81	2979	-265	-8.9	5.2
Frontier County	Nebraska	66	62	4	0	0	20	20	20	0.06	0.2	0	0	0.024	2557	227	1388	0.089	0.543	0.05	0.02	0.02	73	-4.29	925	0.46	2627	-133	-5.1	2.7
Furnas County	Nebraska	51	32	19	0	0	1	1	1	0.59	19	0	0	0.011	2957	386	1244	0.131	0.421	0.09	0.1	0.1	77	11.02	2100	-0.59	4676	-269	-5.8	6.5
Gage County	Nebraska	184	156	28	8	4	20	14	13	0.18	1.4	0.57	0.31	0.025	6183	383	1409	0.062	0.228	0.23	0.22	0.22	438.9	3.67	2635	-1.23	21513	-756	-3.5	25
Garden County	Nebraska	66	64	2	0	0	4	1	0	0.03	0.5	0	0	0.021	3100	900	1564	0.29	0.505	0.16	0.16	0.16	246.5	0.48	380	1.48	1837	-238	-13	1.1
Garfield County	Nebraska	83	79	4	0	0	41	35	20	0.05	0.1	0	0	0.059	1331	90	751	0.068	0.564	0.09	0.09	0.09	105.8	3.25	2282	-0.78	1969	-66	-3.4	3.4
Gosper County	Nebraska	91	84	7	0	0	62	61	21	0.08	0.11	0	0	0.054	1563	144	936	0.092	0.599	0.12	0.11	0.11	75.4	1.54	1897	-0.41	1990	-50	-2.5	4.3
Grant County	Nebraska	2	2	0	0	0	0	0	0	0	0	0	0	0.002	1309	256	522	0.196	0.399	0	0	0			1157	0.22	623	10	1.6	0.8
Greeley County	Nebraska	7	6	1	0	0	0	0	0	0.17	1	0	0	0.003	1716	66	729	0.038	0.425	0.01	0.01	0.01			1383	0.02	2356	-190	-8.1	4.1
Hall County	Nebraska	448	415	33	11	4	109	101	91	0.08	0.3	0.11	0.04	0.092	4511	332	1182	0.074	0.262	0.31	0.29	0.29	298.5	-0.11	2340	-0.85	61353	2548	4.2	111.1
Hamilton County	Nebraska	160	136	24	10	5	67	27	27	0.18	0.36	0.37	0.19	0.038	3570	339	1384	0.095	0.388	0.11	0.1	0.07	187.3	1.35	2801	-1.48	9324	197	2.1	17.1
Harlan County	Nebraska	21	21	0	0	0	0	0	0	0	0	0	0	0.009	2393	227	1151	0.095	0.481	0.07	0.07	0.07			1424	-0.02	3380	-42	-1.2	5.9
Hayes County	Nebraska	26	24	2	0	0	1	1	0	0.08	2	0	0	0.013	1891	244	966	0.129	0.511	0.05	0.05	0.05	166		2650	-1.25	922	-34	-3.7	1.3
Hitchcock County	Nebraska	48	45	3	0	0	21	21	0	0.07	0.14	0	0	0.019	2342	389	1026	0.166	0.438	0.08	0.06	0.06	158.2	0	2003	-0.5	2762	-135	-4.9	3.8
Holt County	Nebraska	227	195	32	0	0	4	4	4	0.16	8	0	0	0.024	8138	671	2549	0.082	0.313	0.32	0.31	0.31	30.8	0.21	2130	-0.61	10067	-367	-3.6	4.2
Hooker County	Nebraska	2	2	0	0	0	0	0	0	0	0	0	0	0.001	1386	164	766	0.118	0.553	0	0	0			2208	-0.7	682	-55	-8.1	0.9
Howard County	Nebraska	70	61	9	2	2	7	6	4	0.15	1.29	0.33	0.5	0.025	2473	124	977	0.05	0.395	0.18	0.17	0.17	101.3	2.07	1172	0.21	6445	166	2.6	11.2
Jefferson County	Nebraska	64	61	3	2	1	4	0	0	0.05	0.75	2	1	0.019	3201	249	1063	0.078	0.332	0.14	0.14	0.14	904.9	-1.13	2477	-1.02	7046	-476	-6.8	12.2
Johnson County	Nebraska	59	52	7	1	0	23	2	0	0.13	0.3	0.5	0	0.023	2227	147	1326	0.066	0.595	0.08	0.07	0.07	205.8	3.81	2704	-1.33	5071	-162	-3.2	13.5
Kearney County	Nebraska	100	89	11	5	3	8	8	6	0.12	1.38	0.62	0.5	0.034	2651	235	1125	0.089	0.424	0.15	0.13	0.12	560.5	1.77	2922	-1.69	6495	18	0.3	12.6
Keith County	Nebraska	197	183	14	1	1	63	33	25	0.08	0.22	0.03	0.04	0.051	3587	868	1747	0.242	0.487	0.29	0.27	0.27	234.8	-8.24	480	1.18	8034	-323	-4	7.2
Keya Paha County	Nebraska	31	29	2	0	0	0	0	0	0.07	2	0	0	0.016	1856	233	984	0.126	0.53	0.02	0.02	0.02			2984	-1.88	806	-18	-2.2	1
Kimball County	Nebraska	149	122	27	1	1	7	6	5	0.22	3.86	0.17	0.2	0.061	1994	749	1094	0.376	0.549	0.16	0.16	0.16	153.8	0.61	1055	0.32	3632	-202	-5.6	3.8
Knox County	Nebraska	147	133	14	3	2	44	40	40	0.11	0.32	0.07	0.05	0.021	6230	755	2877	0.121	0.462	0.19	0.17	0.17	58.8	4.68	1952	-0.45	8332	-345	-4.1	7.3
Lancaster County	Nebraska	1519	1123	396	195	90	603	408	342	0.35	0.66	0.48	0.26	0.137	8181	592	1499	0.072	0.183	0.47	0.42	0.41	284.2	1.61	2720	-1.37	319090	32928	10.3	376.9
Lincoln County	Nebraska	369	344	25	4	1	38	15	13	0.07	0.66	0.27	0.08	0.048	7172	589	2252	0.082	0.314	0.52	0.51	0.51	344.9	1.37	1112	0.27	34914	-1336	-3.8	13.6
Logan County	Nebraska	36	32	4	0	0	1	0	0	0.12	4	0	0	0.029	1104	120	567	0.109	0.514	0.07	0.05	0.05	203	0.54	2021	-0.51	748	-24	-3.2	1.3
Loup County	Nebraska	15	15	0	0	0	2	1	1	0	0	0	0	0.013	1167	64	780	0.055	0.668	0.02	0.02	0.02	143	-1.14	2104	-0.59	664	36	5.4	1.2
Madison County	Nebraska	164	130	34	10	0	60	56	53	0.26	0.57	0.18	0	0.03	4404	299	1157	0.068	0.263	0.28	0.28	0.27	88.8	21.11	1608	-0.16	35099	138	0.4	61
McPherson County	Nebraska	9	9	0	0	0	0	0	0	0	0	0	0	0.006	1434	40	778	0.028	0.543	0.03	0.03	0.03			1723	-0.24	494	-45	-9.1	0.6
Merrick County	Nebraska	463	444	19	5	2	362	361	360	0.04	0.05	0.01	0.01	0.161	2765	208	1181	0.075	0.427	0.15	0.13	0.13	71.4	11.83	2601	-1.18	7755	-97	-1.3	15.7
Morrill County	Nebraska	63	53	10	1	0	2	1	0	0.19	5	1	0	0.012	4489	544	2124	0.121	0.473	0.29	0.2	0.2	163	-0.74	452	1.24	4642	-397	-8.6	3.2
Nance County	Nebraska	19	16	3	0	0	0	0	0	0.19	3	0	0	0.007	2351	104	1607	0.044	0.684	0.06	0.04	0.04		0	1520	-0.1	3519	-221	-6.3	7.9
Nemaha County	Nebraska	53	38	15	6	4	9	9	3	0.39	1.67	0.67	1.33	0.013	2986	349	1174	0.117	0.393	0.14	0.11	0.11	87.2	-3.36	2324	-0.84	6972	-266	-3.8	16.9
Nuckolls County	Nebraska	15	11	4	0	0	1	0	0	0.36	4	0	0	0.004	2638	175	1276	0.066	0.484	0.09	0.08	0.08	278	3.82	2284	-0.79	4148	-366	-8.8	7.2
Otoe County	Nebraska	153	131	22	6	4	21	10	1	0.17	1.05	0.6	4	0.03	4296	275	1449	0.064	0.337	0.21	0.22	0.22	292.8	3.9	2470	-1.01	16012	264	1.6	25.9
Pawnee County	Nebraska	47	39	8	1	1	22	22	22	0.21	0.36	0.05	0.05	0.017	2252	318	1310	0.141	0.582	0.08	0.07	0.07	35.5	0	2558	-1.11	2613	-168	-6.4	6
Perkins County	Nebraska	52	45	7	0	0	0	0	0	0.16	7	0	0	0.015	2995	424	1330	0.142	0.444	0.09	0.08	0.08			2481	-1.02	2891	-87	-3	3.3
Phelps County	Nebraska	30	25	5	0	0	2	2	1	0.2	2.5	0	0	0.009	2723	180	777	0.066	0.285	0.1	0.08	0.08	91		2513	-1.06	9034	-149	-1.6	16.7
Pierce County	Nebraska	156	139	17	6	3	46	46	46	0.12	0.37	0.13	0.07	0.051	2740	181	1033	0.066	0.377	0.12	0.06	0.05	264.8	-9.87	2553	-1.11	7148	-112	-1.6	12.4
Platte County	Nebraska	208	189	19	6	3	68	58	55	0.1	0.28	0.1	0.05	0.035	5399	286	1013	0.053	0.188	0.16	0.16	0.16	275.7	1.08	1694	-0.22	33470	1165	3.5	48.6
Polk County	Nebraska	28	20	8	2	1	4	4	0	0.4	2	0.5	1	0.008	2654	195	933	0.073	0.352	0.08	0.05	0.05	147	-2.15	2913	-1.67	5213	-181	-3.5	11.8
Red Willow County	Nebraska	34	24	10	0	0	0	0	0	0.42	10	0	0	0.008	2927	306	855	0.105	0.292	0.1	0.05	0.05		11.44	2292	-0.8	10724	-335	-3.1	14.9
Richardson County	Nebraska	160	116	44	1	1	55	55	55	0.38	0.8	0.02	0.02	0.026	4414	646	1302	0.146	0.295	0.28	0.24	0.24	26	-32.77	2552	-1.11	7865	-507	-6.4	14.1
Rock County	Nebraska	47	42	5	0	0	0	0	0	0.12	5	0	0	0.02	2133	284	1163	0.133	0.545	0.14	0.13	0.13	604		1512	-0.09	1357	-167	-12.3	1.3
Saline County	Nebraska	114	92	22	7	1	36	30	30	0.24	0.61	0.23	0.03	0.023	4038	339	1353	0.084	0.335	0.13	0.12	0.11	246.4	-0.81	2703	-1.33	14224	2	0	24.7
Sarpy County	Nebraska	730	672	58	11	6	433	289	211	0.09	0.13	0.04	0.03	0.342	1967	150	510	0.076	0.259	0.22	0.2	0.2	189.8	7.54	2496	-1.04	187196	27476	14.7	757
Saunders County	Nebraska	490	367	123	51	21	296	273	225	0.34	0.42	0.19	0.09	0.053	6890	386	2367	0.056	0.344	0.16	0.15	0.13	85.3	-3.42	2570	-1.13	21578	709	3.3	28.4
Scotts Bluff County	Nebraska	352	297	55	13	5	107	103	42	0.19	0.51	0.13	0.12	0.054	5545	928	1565	0.167	0.282	0.44	0.42	0.4	115.9	1.57	668	0.79	35618	-1439	-4	47.8
Seward County	Nebraska	102	87	15	3	1	8	7	2	0.17	1.88	0.43	0.5	0.024	3647	276	1099	0.076	0.301	0.14	0.15	0.13	335	2.82	2917	-1.68	17284	485	2.8	30
Sheridan County	Nebraska	46	40	6	0	0	0	0	0	0.15	6	0	0	0.008	5167	721	1837	0.14	0.356	0.08	0.05	0.05		36.93	311	1.8	5246	-198	-3.8	2.1
Sherman County	Nebraska	26	22	4	2	1	2	2	2	0.18	2	1	0.5	0.012	1874	101	720	0.054	0.384	0.08	0.09	0.08	51.5		1014	0.36	3001	-163	-5.4	5.2
Sioux County	Nebraska	46	39	7	0	0	0	0	0	0.18	7	0	0	0.011	3603	811	2107	0.225	0.585	0.22	0.15	0.15		6.57	1395	0.01	1166	-145	-12.4	0.6
Stanton County	Nebraska	28	18	10	2	1	4	4	2	0.56	2.5	0.5	0.5	0.006	2977	194	1637	0.065	0.55	0.09	0.09	0.1	161	21.2	1210	0.16	5920	-222	-3.8	13.7
Thayer County	Nebraska	14	10	4	0	0	0	0	0	0.4	4	0	0	0.003	2999	313	1154	0.104	0.385	0.02	0	0		0	3000	-1.92	5003	-232	-4.6	8.7
Thomas County	Nebraska	11	8	3	0	0	4	2	2	0.38	0.75	0	0	0.007	1176	101	525	0.086	0.446	0.04	0.04	0.04	149	25.06	2293	-0.8	722	75	10.4	1
Thurston County	Nebraska	12	9	3	1	0	1	1	1	0.33	3	1	0	0.004	2341	320	1201	0.137	0.513	0.02	0.02	0.02	31	11.65	2299	-0.81	7224	255	3.5	18.2
Valley County	Nebraska	37	32	5	0	0	2	2	2	0.16	2.5	0	0	0.016	2006	108	687	0.054	0.342	0.09	0.09	0.09	41.5	5.81	1163	0.22	4158	-107	-2.6	7.3
Washington County	Nebraska	406	327	79	30	4	157	75	50	0.24	0.5	0.4	0.08	0.077	4243	216	1173	0.051	0.276	0.15	0.15	0.15	211.7	0.88	2678	-1.3	20729	808	3.9	52.6
Wayne County	Nebraska	12	8	4	1	1	2	2	2	0.5	2	0.5	0.5	0.003	2414	228	931	0.094	0.386	0.08	0.07	0.07	144.3	7.39	3034	-2.08	9385	-224	-2.4	21.2
Webster County	Nebraska	54	33	21	1	0	3	3	3	0.64	7	0.33	0	0.013	2465	274	1222	0.111	0.496	0.12	0.08	0.08	56.5	0.65	2203	-0.7	3487	-322	-9.2	6.1
Wheeler County	Nebraska	12	12	0	0	0	0	0	0	0	0	0	0	0.009	1350	83	877	0.061	0.65	0	0	0			2375	-0.9	783	-42	-5.4	1.4
York County	Nebraska	59	46	13	6	1	18	5	1	0.28	0.72	1.2	1	0.012	3998	402	1290	0.101	0.323	0.1	0.1	0.06	409.7	-17.53	3036	-2.1	13679	10	0.1	23.7
Carson City	Nevada	222	169	53	9	3	47	25	11	0.31	1.13	0.36	0.27	0.135	1249	132	469	0.106	0.376	0.33	0.27	0.27	378.1	2.78	26	4.7	55916	935	1.7	359.2
Churchill County	Nevada	772	641	131	67	26	210	142	67	0.2	0.62	0.47	0.39	0.19	3380	882	2146	0.261	0.635	0.88	0.9	0.91	271.6	2.27	56	3.84	24909	91	0.4	5
Clark County	Nevada	4302	3360	942	277	147	1365	712	425	0.28	0.69	0.39	0.35	0.056	60437	10455	11355	0.173	0.188	0.75	0.73	0.72	236.3	-1.78	147	2.78	2266715	314128	13.9	280.2
Douglas County	Nevada	1478	1304	174	76	42	475	170	94	0.13	0.37	0.45	0.45	0.267	4887	1370	2749	0.28	0.563	0.97	0.96	0.96	271.3	0.09	31	4.45	48905	1868	3.8	66.3
Elko County	Nevada	3025	2362	663	77	36	512	377	318	0.28	1.29	0.2	0.11	0.092	25574	15570	18471	0.609	0.722	1.41	1.19	1.18	205.3	6.69	359	1.56	52778	3690	7	3.1
Esmeralda County	Nevada	182	149	33	14	6	76	62	38	0.22	0.43	0.23	0.16	0.113	1323	516	882	0.39	0.667	0.16	0.15	0.15	147.6	3.85	158	2.69	873	89	10.2	0.2
Eureka County	Nevada	344	285	59	11	3	86	55	43	0.21	0.69	0.2	0.07	0.089	3217	1411	2688	0.439	0.836	0.52	0.49	0.49	197.5	-2.49	344	1.63	2029	39	1.9	0.5
Humboldt County	Nevada	1760	1408	352	54	26	445	272	135	0.25	0.79	0.2	0.19	0.174	8100	3807	5328	0.47	0.658	0.91	0.88	0.88	335.7	-4.88	197	2.39	16831	247	1.5	1.7
Lander County	Nevada	738	640	98	29	12	174	137	100	0.15	0.56	0.21	0.12	0.161	3979	1505	2460	0.378	0.618	0.8	0.77	0.77	281.1	-4.66	223	2.21	5532	-263	-4.8	1
Lincoln County	Nevada	432	382	50	10	4	43	23	9	0.13	1.16	0.43	0.44	0.163	2350	438	1268	0.186	0.54	0.66	0.61	0.61	481.4	1.78	195	2.41	5183	-168	-3.2	0.5
Lyon County	Nevada	3498	2960	538	218	90	782	428	222	0.18	0.69	0.51	0.41	0.347	8521	2730	6046	0.32	0.71	1.18	1.17	1.17	377.4	0.38	92	3.27	57510	5465	9.5	28.5
Mineral County	Nevada	199	179	20	6	0	79	67	52	0.11	0.25	0.09	0	0.144	1241	490	801	0.395	0.645	0.33	0.33	0.33	190	6.95	94	3.25	4505	-281	-6.2	1.2
